prestador,factura,autoencoder pos,autoencoder prob,Ensamble,LOF,iForest,Autoencoder,$ Valor Factura,Average of personas_unicas,# consultas,$ valor consultas,# proced,$ valor proced,# urg,# hosp,# nac,# med,$ med pbs,$ med nopbs
3F89EB097CB8FB95E71536FCE8F04D40,6BDE319A9417E21CF87B2387BD9DB744,1,"100,00 %",2,1,0,1,80832,107,0,0,1,80832,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,5A1EF8681512798C7BBB66C7CDE16E3E,1,"100,00 %",2,0,1,1,384078500,42994,46327,384078500,0,0,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,91B24F02D7471A4E51F1141DA728F405,1,"100,00 %",2,0,1,1,533914100,761,2662,105207164,1813,40220894,0,18,0,106,3889343,0
5833AB66972CC785431A16BE6CCD2C47,016F3E51C89875A9F0E6B03251125B3B,1,"100,00 %",2,1,0,1,14051102,4,0,0,0,0,0,0,0,3,0,14051102
B725F4EAFE01B71BF7125AB91BC8356B,1B1AE0AA87BE759BB8ED4B29DA3C204D,1,"100,00 %",3,1,1,1,1149305,13,0,0,0,0,0,0,0,7,1149305,0
BDC9655DB70D0AD154FA9811931FC6C8,E93F7F80455D1CB21399C3EA1BA1D568,1,"100,00 %",2,0,1,1,955497120,25277,40479,0,30608,0,551,400,0,6912,0,0
E0B158A4D09C4884A37BAA919DC7EB47,291AC4F937FC5B0CAE968084D543D224,1,"100,00 %",2,1,0,1,281000,64,0,0,2,281000,0,0,0,0,0,0
3F89EB097CB8FB95E71536FCE8F04D40,4C13480ADE39A4AEC68031D5F0D61FA3,2,"71,14 %",2,0,1,1,302872875,6902,3431,109924025,11548,367510065,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,BA7B892561E263054A052AC7C46843EF,2,"99,33 %",2,0,1,1,355731120,39584,42393,355731120,0,0,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,DCC49A8705C080561DBE3477012FFDC6,2,"81,45 %",2,0,1,1,533914100,703,2380,103994194,1318,30014717,0,14,0,136,6270200,0
5833AB66972CC785431A16BE6CCD2C47,02EB121E46C83F522BA087D71E165E24,2,"93,60 %",1,0,0,1,3903417,1,1,92000,38,1784400,1,1,1,15,242471,0
B725F4EAFE01B71BF7125AB91BC8356B,B6C5777662B88A3DE5FFC4006CD8A83C,2,"99,99 %",3,1,1,1,773795,13,0,0,0,0,0,0,0,7,773795,0
BDC9655DB70D0AD154FA9811931FC6C8,9CA194B292CCBB534D73288151A24C35,2,"94,05 %",2,0,1,1,661749660,94638,42572,0,54218,0,0,0,112,2355,0,0
E0B158A4D09C4884A37BAA919DC7EB47,BD23CBC4D0F626D9B678B7A55A09235A,2,"97,66 %",2,0,1,1,34848612,2,0,0,7,1970664,0,1,0,17,803156,2598400
