prestador,factura,ensamble pos,ensamble prob,Ensamble,LOF,iForest,Autoencoder,$ Valor Factura,Average of personas_unicas,# consultas,$ valor consultas,# proced,$ valor proced,# urg,# hosp,# nac,# med,$ med pbs,$ med nopbs
3F89EB097CB8FB95E71536FCE8F04D40,4C13480ADE39A4AEC68031D5F0D61FA3,1,"56,85 %",2,0,1,1,302872875,6902,3431,109924025,11548,367510065,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,BA7B892561E263054A052AC7C46843EF,1,"54,07 %",2,0,1,1,355731120,39584,42393,355731120,0,0,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,91B24F02D7471A4E51F1141DA728F405,1,"65,35 %",2,0,1,1,533914100,761,2662,105207164,1813,40220894,0,18,0,106,3889343,0
5833AB66972CC785431A16BE6CCD2C47,9A8BB4B270AA75FF589C49250AD23D59,1,"55,23 %",2,0,1,1,163523711,11,53,3548800,460,35062800,1,1,0,114,13986647,5269517
B725F4EAFE01B71BF7125AB91BC8356B,1B1AE0AA87BE759BB8ED4B29DA3C204D,1,"59,04 %",3,1,1,1,1149305,13,0,0,0,0,0,0,0,7,1149305,0
BDC9655DB70D0AD154FA9811931FC6C8,E93F7F80455D1CB21399C3EA1BA1D568,1,"65,93 %",2,0,1,1,955497120,25277,40479,0,30608,0,551,400,0,6912,0,0
E0B158A4D09C4884A37BAA919DC7EB47,291AC4F937FC5B0CAE968084D543D224,1,"65,37 %",2,1,0,1,281000,64,0,0,2,281000,0,0,0,0,0,0
3F89EB097CB8FB95E71536FCE8F04D40,549CDCB79E99391FDBBAE2F9749553BB,2,"56,51 %",2,0,1,1,302872875,6572,2991,96137834,13042,371943613,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,5A1EF8681512798C7BBB66C7CDE16E3E,2,"53,12 %",2,0,1,1,384078500,42994,46327,384078500,0,0,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,DCC49A8705C080561DBE3477012FFDC6,2,"59,25 %",2,0,1,1,533914100,703,2380,103994194,1318,30014717,0,14,0,136,6270200,0
5833AB66972CC785431A16BE6CCD2C47,FC391FB366384B246A72E56D020668AA,2,"53,85 %",3,1,1,1,571738651,14,322,26871700,1191,125071000,1,1,0,125,177437283,0
B725F4EAFE01B71BF7125AB91BC8356B,B6C5777662B88A3DE5FFC4006CD8A83C,2,"57,61 %",3,1,1,1,773795,13,0,0,0,0,0,0,0,7,773795,0
BDC9655DB70D0AD154FA9811931FC6C8,9CA194B292CCBB534D73288151A24C35,2,"61,85 %",2,0,1,1,661749660,94638,42572,0,54218,0,0,0,112,2355,0,0
E0B158A4D09C4884A37BAA919DC7EB47,BD23CBC4D0F626D9B678B7A55A09235A,2,"61,80 %",2,0,1,1,34848612,2,0,0,7,1970664,0,1,0,17,803156,2598400
3F89EB097CB8FB95E71536FCE8F04D40,6C005E4C9EDF73D9E92B18F4AAC30381,3,"55,03 %",2,0,1,1,302872875,5817,2953,94367932,12205,301162569,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,AB4321A80134F91A2E8C453DCBC56441,3,"49,24 %",2,0,1,1,2256229351,216297,1700,111167136,315434,2145062215,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,33165065F7D1997614C43EE610A69341,3,"52,43 %",2,0,1,1,41587980,141,1325,104653200,76,6455140,0,0,0,2,553441,0
5833AB66972CC785431A16BE6CCD2C47,02EB121E46C83F522BA087D71E165E24,3,"52,53 %",1,0,0,1,3903417,1,1,92000,38,1784400,1,1,1,15,242471,0
B725F4EAFE01B71BF7125AB91BC8356B,38F3647AB4875693992B2428F7B76DF1,3,"53,42 %",3,1,1,1,1158275,13,0,0,0,0,0,0,0,9,1158275,0
BDC9655DB70D0AD154FA9811931FC6C8,3BDB69101100D414D7635FF25330C0A1,3,"58,24 %",2,0,1,1,1276954274,26685,38565,0,40723,0,392,143,0,5690,0,0
E0B158A4D09C4884A37BAA919DC7EB47,B6A60615A189F50CAEA0673BF8CDCA8A,3,"60,42 %",3,1,1,1,97393320,6,1,53500,69,3232633,0,1,0,94,19337588,0
