prestador,factura,lof pos,lof prob,Ensamble,LOF,iForest,Autoencoder,$ Valor Factura,Average of personas_unicas,# consultas,$ valor consultas,# proced,$ valor proced,# urg,# hosp,# nac,# med,$ med pbs,$ med nopbs
3F89EB097CB8FB95E71536FCE8F04D40,ABDA7421D9936349664FD689D5C2A777,1,"90,00 %",1,1,0,0,216994,2430,0,0,1,216994,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,F8D8B14FCD8A6EA17DD36024D117648C,1,"93,80 %",2,1,0,1,99423,2,0,0,1,99423,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,E8433D0BF4D8D196ACAE6A8DECA74A88,1,"95,00 %",1,1,0,0,80832,1910,0,0,1,80832,0,0,0,0,0,0
5833AB66972CC785431A16BE6CCD2C47,C19803D4C030931F888A0DEC466BC3CC,1,"93,59 %",2,1,0,1,139400,15,0,0,1,139400,0,0,1,0,0,0
B725F4EAFE01B71BF7125AB91BC8356B,4E7B87D23354B7C7CFEE66607BD19245,1,"93,75 %",1,1,0,0,173250,493,1,173250,0,0,0,0,0,0,0,0
BDC9655DB70D0AD154FA9811931FC6C8,5FA66BA21EA31FB859E01ECEEFD7F69F,1,"92,86 %",1,1,0,0,998729,10,1,43000,9,187075,0,1,0,4,49535,0
E0B158A4D09C4884A37BAA919DC7EB47,291AC4F937FC5B0CAE968084D543D224,1,"95,08 %",2,1,0,1,281000,64,0,0,2,281000,0,0,0,0,0,0
3F89EB097CB8FB95E71536FCE8F04D40,934A38C0738681354FEEAF1200DDC9C9,2,"90,00 %",1,1,0,0,216994,2430,0,0,1,216994,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,4DDC63740DA688BD59C767CB2F4843D0,2,"92,86 %",2,1,0,1,96903,1,0,0,1,96903,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,EE919EBFC35FF52109979D2850B1E30A,2,"63,59 %",1,1,0,0,80832,3109,0,0,1,80832,0,0,0,0,0,0
5833AB66972CC785431A16BE6CCD2C47,64AF0821918B437DE7B441B8CB795362,2,"72,97 %",2,1,0,1,139400,14,0,0,1,139400,0,0,1,0,0,0
B725F4EAFE01B71BF7125AB91BC8356B,7B3EFBD4EAD478970B38CF35CA0999B8,2,"93,75 %",1,1,0,0,173250,493,1,173250,0,0,0,0,0,0,0,0
