prestador,factura,forest pos,iforest prob,Ensamble,LOF,iForest,Autoencoder,$ Valor Factura,Average of personas_unicas,# consultas,$ valor consultas,# proced,$ valor proced,# urg,# hosp,# nac,# med,$ med pbs,$ med nopbs
3F89EB097CB8FB95E71536FCE8F04D40,1934D226985A4375917F85EDB888F2F9,1,"100,00 %",2,0,1,1,302872875,5126,2315,72171677,9840,223655390,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,9674F87CA8D641EDEA9112F1C5F834B4,1,"100,00 %",2,0,1,1,500651031,59744,0,0,68038,500651031,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,3856B323D8D105D9A082AB55BDE24365,1,"100,00 %",2,0,1,1,198528202,3133,606,38120000,5132,158734356,0,0,0,0,0,0
5833AB66972CC785431A16BE6CCD2C47,9E07DE6BEBAEEA916EDD02D2B97AEA6D,1,"100,00 %",3,1,1,1,168221993,2,109,5685000,583,55040200,1,1,0,78,35657810,3711080
B725F4EAFE01B71BF7125AB91BC8356B,C850EEF5B02FF3FADB1014C2B131D1B0,1,"100,00 %",3,1,1,1,1061538,130,1,0,37,1061538,0,0,0,17,0,0
BDC9655DB70D0AD154FA9811931FC6C8,3BDB69101100D414D7635FF25330C0A1,1,"100,00 %",2,0,1,1,1276954274,26685,38565,0,40723,0,392,143,0,5690,0,0
E0B158A4D09C4884A37BAA919DC7EB47,E21B8A1F5FDCB87E5A3EEE50F2A9E05B,1,"100,00 %",2,0,1,1,9754842,26,9,490700,19,1052000,1,1,0,16,540253,0
3F89EB097CB8FB95E71536FCE8F04D40,AEBE1D030AD7B65AF0682CF797C2BA33,2,"99,88 %",2,0,1,1,302872875,4899,1909,60279559,10477,234972882,0,0,0,0,0,0
43246AB2ECE09E419D3C7D7C1D33C33B,22B0F807250B0710D6F326D75D72CB03,2,"97,81 %",2,0,1,1,716038479,89272,0,0,100607,716038479,0,0,0,0,0,0
4F09BB7381F2DD5BE74AEB854852AEFD,E31BD7CF61B6AE80DCF2E84DE060E831,2,"99,64 %",2,0,1,1,269307864,3162,870,52340000,3397,215189880,0,0,0,0,0,0
